

Branch Name            | Type | Description                                                                                                              | Source File         
TauTau_highPtGenMatch  |  O   | True if the higher pt tau decay matched to the GEN taustar tau                                                           | TauTauProducer.py   
TauTau_highPtCollM     |  F   | Either the min or max coll m, whichever was from the higher pt tau decay                                                 | TauTauProducer.py   
TauTau_isCand          |  O   | True if the event is good tau+tau+Z event                                                                                | TauTauProducer.py   
TauTau_trigMatchTau    |  O   | True if the event passes the single tau trigger and one tau matches to the trigObj                                       | TauTauProducer.py   
TauTau_trigMatchTauTau |  O   | True if the event passes the d-tau trigger and both taus matche to the trigObj                                           | TauTauProducer.py   
ETau_tauESCorr         |  F   | The energy scale correction applied to the tau [down1, nom1, up1, down2, nom2, up2]                                      | TauTauProducer.py   
ETau_tauVsESF          |  F   | DeepTau tau vs e SFs [down1, nom1, up1, down2, nom2, up2]                                                                | TauTauProducer.py   
ETau_tauVsMuSF         |  F   | DeepTau tau vs mu SFs [down1, nom1, up1, down2, nom2, up2]                                                               | TauTauProducer.py   
ETau_tauVsJetSF        |  F   | DeepTau tau vs jet SFs [down1, nom1, up1, down2, nom2, up2]                                                              | TauTauProducer.py   
MuTau_muIdx            |  I   | Index to Muons of muon                                                                                                   | MuTauProducer.py    
MuTau_tauIdx           |  I   | Index to Taus of hadronic tau                                                                                            | MuTauProducer.py    
MuTau_tauProngs        |  I   | Number if prongs of tau (1 or 3)                                                                                         | MuTauProducer.py    
MuTau_havePair         |  O   | True if have a good mu and tau                                                                                           | MuTauProducer.py    
MuTau_MuTauDR          |  F   | DeltaR betwenn mu and tau                                                                                                | MuTauProducer.py    
MuTau_MuTauDPhi        |  F   | Delta phi between the muon and tau                                                                                       | MuTauProducer.py    
MuTau_visM             |  F   | Visible mass of the mu+tau pair                                                                                          | MuTauProducer.py    
MuTau_haveTrip         |  O   | True if have a good mu, tau, and Z                                                                                       | MuTauProducer.py    
MuTau_minCollM         |  F   | The smaller collinear mass of e+nu+Z or tau+nu+z                                                                         | MuTauProducer.py    
MuTau_maxCollM         |  F   | The larger collinear mass of either mu+nu+Z or tau+nu+Z                                                                  | MuTauProducer.py    
MuTau_highPtGenMatch   |  O   | True if the higher pt tau decay matched to the GEN taustar tau                                                           | MuTauProducer.py    
MuTau_highPtCollM      |  F   | Either the min or max coll m, whichever was from the higher pt tau decay                                                 | MuTauProducer.py    
MuTau_tauESCorr        |  F   | The energy scale correction applied to the tau [down, nom, up]                                                           | MuTauProducer.py    
MuTau_tauVsESF         |  F   | DeepTau tau vs e SFs [down, nom, up]                                                                                     | MuTauProducer.py    
MuTau_tauVsMuSF        |  F   | DeepTau tau vs mu SFs [down, nom, up]                                                                                    | MuTauProducer.py    
MuTau_tauVsJetSF       |  F   | DeepTau tau vs jet SFs [down, nom, up]                                                                                   | MuTauProducer.py    
MuTau_muIDSF           |  F   | Muon ID SFs [down, nom, up]                                                                                              | MuTauProducer.py    
MuTau_trigMatchTau     |  O   | True if the tau matches the single-tau trigger obj                                                                       | MuTauProducer.py    
MuTau_trigMatchMuTau   |  O   | True if the reco mu and tau fired the mu-tau cross trigger                                                               | MuTauProducer.py    
MuTau_isCand           |  O   | True if the event is good mu+tau+Z event                                                                                 | MuTauProducer.py    
ZReClJ_pow             |  I   | The power used in the reclustering step (-1=anti-kt, 0=cambridge-aachen, 1=kt)                                           | ZJetReclusterProducer.py
ZReClJ_pt              |  F   | pt of the overall reclustered Z->AK8 Jet                                                                                 | ZJetReclusterProducer.py
ZReClJ_eta             |  F   | eta of the overall reclustered Z->AK8 Jet                                                                                | ZJetReclusterProducer.py
ZReClJ_phi             |  F   | phi of the overall reclustered Z->AK8 Jet                                                                                | ZJetReclusterProducer.py
ZReClJ_mass            |  F   | m of the overall reclustered Z->AK8 Jet                                                                                  | ZJetReclusterProducer.py
ZReClJ_nSJs            |  I   | The number of AK4 subjets after reclustering                                                                             | ZJetReclusterProducer.py
ZReClJ_sjPt            |  F   | pt of the Z subjets (AK4 clustering results)                                                                             | ZJetReclusterProducer.py
ZReClJ_sjEta           |  F   | eta of the Z subjets (AK4 clustering results)                                                                            | ZJetReclusterProducer.py
ZReClJ_sjPhi           |  F   | phi of the Z subjets (AK4 clustering results)                                                                            | ZJetReclusterProducer.py
ZReClJ_sjMass          |  F   | mass of the Z subjets (AK4 clustering results)                                                                           | ZJetReclusterProducer.py
Z_dm                   |  I   | 0 = hadronic, 1=electrons, 2=muons, 3=taus. -1 by default                                                                | ZProducer.py        
Z_d1Idx                |  I   | Idx to first daughter of Z in either Muons or Electrons collection (if Z_dm == 1 or Z_dm == 2). -1 default               | ZProducer.py        
Z_d2Idx                |  I   | Idx to second daughter of Z in either Muons or Electrons collection (depending on if Z_dm == 1 or Z_dm == 2). -1 default | ZProducer.py        
Z_dauID                |  O   | For Z_dm=1 or 2, True if both Z daughter candidates pass the appropriate ID                                              | ZProducer.py        
Z_dauDR                |  F   | DeltaR(zDau1, zDau2). 0 default                                                                                          | ZProducer.py        
Z_mass                 |  F   | Mass of ee or mumu pair if either Z_dm == 1 or Z_dm == 2 or jet if Z_dm =0. 0 default                                    | ZProducer.py        
Z_mCorr                |  F   | For Z->jet events, mass plus a pt-based linear correction to adjust for bias. Equal to mass for ee,mumu Z's              | ZProducer.py        
Z_pt                   |  F   | Pt of ee or mumu pair or jet. 0 default                                                                                  | ZProducer.py        
Z_eta                  |  F   | Eta of the overall Z candidate                                                                                           | ZProducer.py        
Z_phi                  |  F   | Phi of the overall Z candidate                                                                                           | ZProducer.py        
Z_jetIdxAK8            |  I   | Idx to FatJet collection of the most Z-like AK8 jet (using particle net). if Z_dm=0                                      | ZProducer.py        
Z_nJetCands            |  I   | Count of number of FatJets passing cuts                                                                                  | ZProducer.py        
Z_sJIdx1               |  I   | Idx to SubJet collection of the higher pt subjet deltaR matching to the Z FatJet. if Z_dm=0                              | ZProducer.py        
Z_sJIdx2               |  I   | Idx to SubJet collection of the lower pt subjet deltaR matching to the Z FatJet. if Z_dm=0                               | ZProducer.py        
Z_jetR                 |  I   | Either 4 or 8 if the best matching jet is an AK4/8 jet respectively if Z_Dm=0. -1 otherwise                              | ZProducer.py        
Z_nEE                  |  I   | Number of candidate ee pairs found                                                                                       | ZProducer.py        
Z_nMuMu                |  I   | Number of candidate mumu pairs found                                                                                     | ZProducer.py        
Z_isCand               |  O   | True if Z is a good candidate (DM, mass, etc)                                                                            | ZProducer.py        
Z_eIDSFs               |  F   | [down1, nom1, up1, down2, nom2, up2] SFs for Z daughter el ID if DM==1                                                   | ZProducer.py        
Z_muIDSFs              |  F   | [down1, nom1, up1, down2, nom2, up2] SFs for Z daughter mu ID if DM==2                                                   | ZProducer.py        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

